"iso3c","country","date","out_of_pocket","gdp_percap","life_exp","health_exp_percap","diabetes"
"ABW","Aruba",2000,NA,21023.1575127316,73.569,NA,"12.1"
"ABW","Aruba",2001,NA,20913.2994971137,73.647,NA,NA
"ABW","Aruba",2002,NA,21377.0951851076,73.726,NA,NA
"ABW","Aruba",2003,NA,22050.8309318377,73.752,NA,NA
"ABW","Aruba",2004,NA,24104.6461765229,73.576,NA,NA
"ABW","Aruba",2005,NA,24975.6732567007,73.811,NA,NA
"ABW","Aruba",2006,NA,25833.445623022,74.026,NA,NA
"ABW","Aruba",2007,NA,27665.4264651752,74.21,NA,NA
"ABW","Aruba",2008,NA,29011.5592450359,74.147,NA,NA
"ABW","Aruba",2009,NA,25739.1372506975,74.56,NA,NA
"ABW","Aruba",2010,NA,24452.9283634427,75.404,NA,NA
"ABW","Aruba",2011,NA,26044.4359333351,75.465,NA,"12.4"
"ABW","Aruba",2012,NA,25609.9557239373,75.531,NA,NA
"ABW","Aruba",2013,NA,26515.678080228,75.636,NA,NA
"ABW","Aruba",2014,NA,26942.3079764655,75.601,NA,NA
"ABW","Aruba",2015,NA,28421.3864931862,75.683,NA,NA
"ABW","Aruba",2016,NA,28451.2737445083,75.617,NA,NA
"ABW","Aruba",2017,NA,29326.7080582111,75.903,NA,NA
"ABW","Aruba",2018,NA,30220.5945232395,76.072,NA,NA
"ABW","Aruba",2019,NA,31650.7605367511,76.248,NA,"4.3"
"ARG","Argentina",2000,29.10433197,7666.51783423783,73.926,1067.82861328,"-"
"ARG","Argentina",2001,29.47439766,7168.97587232911,74.186,1050.86181641,NA
"ARG","Argentina",2002,29.99389839,2579.48876933284,74.408,830.9619751,NA
"ARG","Argentina",2003,28.24989319,3333.15290388997,74.08,849.87982178,NA
"ARG","Argentina",2004,27.62963104,4258.16026060875,74.855,882.96453857,NA
"ARG","Argentina",2005,33.06813049,5086.62776073134,75.139,1032.68981934,NA
"ARG","Argentina",2006,32.41083908,5890.97800169795,75.433,1142.3605957,NA
"ARG","Argentina",2007,31.28629875,7210.59554755899,75.006,1298.18566895,NA
"ARG","Argentina",2008,30.2619133,8977.50685093365,75.641,1424.12219238,NA
"ARG","Argentina",2009,26.18709564,8184.38988923991,75.936,1544.61193848,NA
"ARG","Argentina",2010,26.78010178,10385.9644319555,75.721,1701.55761719,NA
"ARG","Argentina",2011,26.89295959,12848.8641969705,76.124,1817.20678711,"5.5"
"ARG","Argentina",2012,26.08745956,13082.664325572,76.467,1929.19482422,NA
"ARG","Argentina",2013,26.81741714,13080.2547323367,76.491,1969.39733887,NA
"ARG","Argentina",2014,27.04210854,12334.7982453893,76.755,1905.10473633,NA
"ARG","Argentina",2015,25.93237495,13789.060424772,76.76,2059.32861328,NA
"ARG","Argentina",2016,29.56861496,12790.2424732447,76.308,1831.53527832,NA
"ARG","Argentina",2017,25.84117699,14613.041824658,76.833,2470.10986328,NA
"ARG","Argentina",2018,27.72951698,11795.1593866287,76.999,2260.39575195,NA
"ARG","Argentina",2019,27.65851593,9963.6725062053,77.284,2198.88037109,"5.4"
"ATG","Antigua and Barbuda",2000,22.22428131,11010.1974601342,74.606,794.05975342,"-"
"ATG","Antigua and Barbuda",2001,22.74691391,10502.9388110146,75.078,879.44671631,NA
"ATG","Antigua and Barbuda",2002,22.74011803,10549.6661892802,75.536,865.61553955,NA
"ATG","Antigua and Barbuda",2003,23.21789169,10968.8926839103,75.478,974.47717285,NA
"ATG","Antigua and Barbuda",2004,24.31144524,11650.8484770858,75.672,957.78607178,NA
"ATG","Antigua and Barbuda",2005,27.07498169,12808.0101536637,75.825,1011.61096191,NA
"ATG","Antigua and Barbuda",2006,30.31648445,14310.6862347854,75.765,1073.6192627,NA
"ATG","Antigua and Barbuda",2007,32.52657318,16006.1361107498,76.131,1138.69885254,NA
"ATG","Antigua and Barbuda",2008,31.90914726,16457.1040632589,76.41,1078.98498535,NA
"ATG","Antigua and Barbuda",2009,25.27703667,14530.5986896353,76.669,937.0289917,NA
"ATG","Antigua and Barbuda",2010,24.68379784,13404.5160161036,76.82,1108.55407715,NA
"ATG","Antigua and Barbuda",2011,25.77301216,13117.1469408968,77.104,1107.54724121,"12.5"
"ATG","Antigua and Barbuda",2012,26.8955822,13686.4765853976,77.35,1073.8404541,NA
"ATG","Antigua and Barbuda",2013,26.76339149,13350.149136673,77.583,1035.53991699,NA
"ATG","Antigua and Barbuda",2014,25.34367752,14004.8112122163,77.858,1118.01074219,NA
"ATG","Antigua and Barbuda",2015,23.53068924,14861.8827074704,77.913,998.48590088,NA
"ATG","Antigua and Barbuda",2016,27.5195961,15862.6516627488,78.152,1020.27868652,NA
"ATG","Antigua and Barbuda",2017,26.5686245,16110.5562811025,78.268,967.30395508,NA
"ATG","Antigua and Barbuda",2018,23.66021156,17527.1696291931,78.511,1049.15600586,NA
"ATG","Antigua and Barbuda",2019,24.26510048,18319.4560540762,78.691,1016.4708252,"11.7"
"BHS","Bahamas, The",2000,27.22701454,24849.6064784902,72.041,1054.58325195,NA
"BHS","Bahamas, The",2001,28.23169327,25234.1441512502,72.11,1123.62683105,NA
"BHS","Bahamas, The",2002,28.80686188,26590.1401788013,72.232,1120.14135742,NA
"BHS","Bahamas, The",2003,28.64151382,26204.8804986853,72.402,1167.08081055,NA
"BHS","Bahamas, The",2004,29.60046577,26393.4139538137,72.478,1194.96289063,NA
"BHS","Bahamas, The",2005,30.36487389,28280.870835298,72.765,1246.21716309,NA
"BHS","Bahamas, The",2006,29.36036682,28829.8493750425,72.855,1380.5567627,NA
"BHS","Bahamas, The",2007,28.72886658,29687.865215033,72.678,1472.26269531,NA
"BHS","Bahamas, The",2008,27.804842,29013.6302870767,72.667,1556.63476563,NA
"BHS","Bahamas, The",2009,27.00976372,27120.6905452145,72.579,1564.98022461,NA
"BHS","Bahamas, The",2010,27.5947628,27046.6576651879,72.731,1615.97705078,NA
"BHS","Bahamas, The",2011,27.96329498,26644.9265775896,72.564,1659.36157227,NA
"BHS","Bahamas, The",2012,28.74634171,28059.6553953426,72.753,1713.53503418,NA
"BHS","Bahamas, The",2013,27.9325161,27389.6019706988,73.024,1782.0234375,NA
"BHS","Bahamas, The",2014,28.32532883,28720.6621934516,73.366,1847.06616211,NA
"BHS","Bahamas, The",2015,30.39039993,30206.2404347372,73.104,1747.15344238,NA
"BHS","Bahamas, The",2016,28.03924179,29887.1648786795,73.537,1919.68737793,NA
